title,author,downloads
The Man Who Would Be King,Rudyard Kipling,4943
The Adventures of Pinocchio,Carlo Collodi,4936
A Journal of the Plague Year,Daniel Defoe,4931
The Story of Paris,Thomas Okey,4924
"The Natural History of Pliny, Volume 6 (of 6)",the Elder Pliny,4923
The Methods of Ethics,Henry Sidgwick,4921
The Story of the Volsungs (Volsunga Saga); with Excerpts from the Poetic Edda,Unknown,4920
"Dhammapada, a Collection of Verses; Being One of the Canonical Books of the Buddhists",Unknown,4917
Chess Fundamentals,José Raúl Capablanca,4914
The Sailor's Word-Book,W. H. Smyth,4884
"The Life of Ludwig van Beethoven, Volume I",Alexander Wheelock Thayer,4883
The Monkey's Paw,W. W. Jacobs,4873
On the Duty of Civil Disobedience,Henry David Thoreau,4870
Areopagitica,John Milton,4870
Meno,Plato,4853
The Book of the Thousand Nights and a Night — Volume 02 (of 10),Unknown,4846
Plutarch,Plutarch,4845
The Nursery Rhymes of England,Unknown,4844
"Narrative and Critical History of America, Vol. 2 (of 8)",Unknown,4840
Etiquette,Emily Post,4839
"The writings of Origen, Vol. 1 (of 2)",Origen,4836
A Little Princess,Frances Hodgson Burnett,4833
The Beautiful and Damned,F. Scott Fitzgerald,4831
"The Works of the Right Honourable Edmund Burke, Vol. 01 (of 12)",Edmund Burke,4822
Ivanhoe,Walter Scott,4821
A Polyglot of Foreign Proverbs,Unknown,4814
Household Education,Harriet Martineau,4810
Walks in Rome,Augustus J. C. Hare,4798
Medea of Euripides,Euripides,4791
The Preaching of Islam,Sir Thomas Walker Arnold,4791
"The life and opinions of Tristram Shandy, gentleman",Laurence Sterne,4791
Pragmatism,William James,4790
The Ancient Irish Epic Tale Táin Bó Cúalnge,Unknown,4777
"Modern English biography, volume 2 (of 4), I-Q",Frederic Boase,4777
Memoirs of General William T. Sherman — Complete,William T. Sherman,4771
隨園詩話 (Chinese),Mei Yuan,4767
"The Tribes and Castes of the Central Provinces of India, Volume 2",R. V. Russell,4765
The Itinerary of Benjamin of Tudela,active 12th century of Tudela Benjamin,4758
Totem and taboo ,Sigmund Freud,4755
Poems,Rainer Maria Rilke,4745
